"type","id","description"
"detection_id","1","surv_ice_seals_2025_fl107_C_966"
"detection_id","3","surv_ice_seals_2025_fl108_C_143"
"detection_id","4","surv_ice_seals_2025_fl108_C_163"
"detection_id","5","surv_ice_seals_2025_fl108_C_202"
"detection_id","7","surv_ice_seals_2025_fl108_C_397"
"detection_id","9","surv_ice_seals_2025_fl108_C_679"
"detection_id","10","surv_ice_seals_2025_fl108_L_305"
"detection_id","23","surv_ice_seals_2025_fl108_L_994"
"detection_id","15","surv_ice_seals_2025_fl108_L_815"
"detection_id","19","surv_ice_seals_2025_fl108_L_918"
"detection_id","21","surv_ice_seals_2025_fl108_L_986"
"detection_id","27","surv_ice_seals_2025_fl108_R_41"
"detection_id","24","surv_ice_seals_2025_fl108_R_264"
"detection_id","30","surv_ice_seals_2025_fl108_R_514"
"detection_id","31","surv_ice_seals_2025_fl108_R_522"
"detection_id","35","surv_ice_seals_2025_fl108_R_802"
"detection_id","38","surv_ice_seals_2025_fl109_C_351"
"detection_id","44","surv_ice_seals_2025_fl111_L_215"
"detection_id","45","surv_ice_seals_2025_fl111_L_879"
"detection_id","43","surv_ice_seals_2025_fl111_L_1065"
"detection_id","48","surv_ice_seals_2025_fl113_C_280"
"detection_id","49","surv_ice_seals_2025_fl113_C_282"
"detection_id","55","surv_ice_seals_2025_fl115_R_116"
"detection_id","56","surv_ice_seals_2025_fl116_R_932"
"detection_id","58","surv_ice_seals_2025_fl119_C_48"
"detection_id","61","surv_ice_seals_2025_fl119_C_80"
"detection_id","59","surv_ice_seals_2025_fl119_C_50"
"detection_id","60","surv_ice_seals_2025_fl119_C_51"
"detection_id","63","surv_ice_seals_2025_fl119_R_106"
"detection_id","65","surv_ice_seals_2025_fl119_R_117"
"detection_id","75","surv_ice_seals_2025_fl120_L_354"
"detection_id","72","surv_ice_seals_2025_fl120_L_1345"
"detection_id","79","surv_ice_seals_2025_fl120_L_855"
"detection_id","80","surv_ice_seals_2025_fl120_L_905"
"detection_id","71","surv_ice_seals_2025_fl120_L_1156"
"detection_id","81","surv_ice_seals_2025_fl120_R_8"
"detection_id","82","surv_ice_seals_2025_fl121_C_278"
"detection_id","86","surv_ice_seals_2025_fl121_C_411"
"detection_id","95","surv_ice_seals_2025_fl121_L_69"
"detection_id","91","surv_ice_seals_2025_fl121_L_123"
"detection_id","94","surv_ice_seals_2025_fl121_L_517"
"detection_id","98","surv_ice_seals_2025_fl121_R_575"
"detection_id","100","surv_ice_seals_2025_fl121_R_699"
"detection_id","102","surv_ice_seals_2025_fl122_C_2"
"detection_id","106","surv_ice_seals_2025_fl123_C_21"
"detection_id","108","surv_ice_seals_2025_fl123_C_30"
"detection_id","109","surv_ice_seals_2025_fl123_C_43"
"detection_id","110","surv_ice_seals_2025_fl123_C_47"
"detection_id","111","surv_ice_seals_2025_fl123_C_76"
"detection_id","118","surv_ice_seals_2025_fl123_L_8"
"detection_id","119","surv_ice_seals_2025_fl123_L_95"
"detection_id","117","surv_ice_seals_2025_fl123_L_347"
"detection_id","112","surv_ice_seals_2025_fl123_L_143"
"detection_id","114","surv_ice_seals_2025_fl123_L_208"
"detection_id","121","surv_ice_seals_2025_fl123_R_14"
"detection_id","126","surv_ice_seals_2025_fl123_R_67"
"detection_id","124","surv_ice_seals_2025_fl123_R_292"
"detection_id","123","surv_ice_seals_2025_fl123_R_165"
"detection_id","135","surv_ice_seals_2025_fl125_C_39"
"detection_id","138","surv_ice_seals_2025_fl125_C_83"
"detection_id","134","surv_ice_seals_2025_fl125_C_273"
"detection_id","139","surv_ice_seals_2025_fl125_L_2929"
"detection_id","144","surv_ice_seals_2025_fl125_L_6891"
"detection_id","140","surv_ice_seals_2025_fl125_L_3100"
"detection_id","141","surv_ice_seals_2025_fl125_L_4593"
"detection_id","147","surv_ice_seals_2025_fl125_R_102"
"detection_id","149","surv_ice_seals_2025_fl125_R_257"
"detection_id","151","surv_ice_seals_2025_fl125_R_393"
"detection_id","152","surv_ice_seals_2025_fl125_R_394"
"detection_id","158","surv_ice_seals_2025_fl126_L_1285"
"detection_id","161","surv_ice_seals_2025_fl126_R_382"
"detection_id","166","surv_ice_seals_2025_fl127_C_73"
"detection_id","168","surv_ice_seals_2025_fl127_L_17"
"detection_id","174","surv_ice_seals_2025_fl127_L_682"
"detection_id","169","surv_ice_seals_2025_fl127_L_2066"
"detection_id","170","surv_ice_seals_2025_fl127_L_2098"
"detection_id","173","surv_ice_seals_2025_fl127_L_2301"
"detection_id","178","surv_ice_seals_2025_fl127_R_36"
"detection_id","179","surv_ice_seals_2025_fl127_R_56"
"detection_id","183","surv_ice_seals_2025_fl132_C_93"
"detection_id","186","surv_ice_seals_2025_fl132_R_24"
"detection_id","187","surv_ice_seals_2025_fl133_R_26"
"detection_id","188","surv_ice_seals_2025_fl134_C_115"
"detection_id","191","surv_ice_seals_2025_fl134_R_110"
"detection_id","194","surv_ice_seals_2025_fl136_R_58"
"detection_id","195","surv_ice_seals_2025_fl137_C_139"
"detection_id","199","surv_ice_seals_2025_fl137_R_753"
"detection_id","200","surv_ice_seals_2025_fl138_C_15"
"detection_id","206","surv_ice_seals_2025_fl202_C_10"
"detection_id","212","surv_ice_seals_2025_fl202_C_35"
"detection_id","214","surv_ice_seals_2025_fl202_C_61"
"detection_id","208","surv_ice_seals_2025_fl202_C_113"
"detection_id","217","surv_ice_seals_2025_fl202_R_19"
"detection_id","218","surv_ice_seals_2025_fl202_R_20"
"detection_id","221","surv_ice_seals_2025_fl202_R_26"
"detection_id","224","surv_ice_seals_2025_fl202_R_34"
"detection_id","226","surv_ice_seals_2025_fl202_R_43"
"detection_id","227","surv_ice_seals_2025_fl202_R_44"
"detection_id","228","surv_ice_seals_2025_fl202_R_80"
"detection_id","229","surv_ice_seals_2025_fl202_R_83"
"detection_id","230","surv_ice_seals_2025_fl202_R_87"
"detection_id","231","surv_ice_seals_2025_fl202_R_88"
"detection_id","233","surv_ice_seals_2025_fl203_C_58"
"detection_id","239","surv_ice_seals_2025_fl203_R_101"
"detection_id","238","surv_ice_seals_2025_fl203_R_100"
"detection_id","240","surv_ice_seals_2025_fl203_R_105"
"detection_id","241","surv_ice_seals_2025_fl203_R_109"
"detection_id","251","surv_ice_seals_2025_fl204_L_70"
"detection_id","248","surv_ice_seals_2025_fl204_L_140"
"detection_id","250","surv_ice_seals_2025_fl204_L_262"
"detection_id","252","surv_ice_seals_2025_fl204_R_31"
"detection_id","254","surv_ice_seals_2025_fl207_C_19"
"detection_id","255","surv_ice_seals_2025_fl207_C_20"
"detection_id","258","surv_ice_seals_2025_fl207_C_23"
"detection_id","260","surv_ice_seals_2025_fl207_C_26"
"detection_id","263","surv_ice_seals_2025_fl207_C_33"
"detection_id","267","surv_ice_seals_2025_fl207_C_37"
"detection_id","268","surv_ice_seals_2025_fl207_C_38"
"detection_id","272","surv_ice_seals_2025_fl207_C_72"
"detection_id","274","surv_ice_seals_2025_fl207_C_83"
"detection_id","296","surv_ice_seals_2025_fl207_L_3"
"detection_id","313","surv_ice_seals_2025_fl207_L_8"
"detection_id","297","surv_ice_seals_2025_fl207_L_36"
"detection_id","298","surv_ice_seals_2025_fl207_L_37"
"detection_id","300","surv_ice_seals_2025_fl207_L_40"
"detection_id","301","surv_ice_seals_2025_fl207_L_43"
"detection_id","303","surv_ice_seals_2025_fl207_L_45"
"detection_id","304","surv_ice_seals_2025_fl207_L_49"
"detection_id","306","surv_ice_seals_2025_fl207_L_50"
"detection_id","307","surv_ice_seals_2025_fl207_L_51"
"detection_id","308","surv_ice_seals_2025_fl207_L_52"
"detection_id","309","surv_ice_seals_2025_fl207_L_53"
"detection_id","312","surv_ice_seals_2025_fl207_L_60"
"detection_id","314","surv_ice_seals_2025_fl207_L_88"
"detection_id","315","surv_ice_seals_2025_fl207_L_94"
"detection_id","290","surv_ice_seals_2025_fl207_L_155"
"detection_id","277","surv_ice_seals_2025_fl207_L_100"
"detection_id","280","surv_ice_seals_2025_fl207_L_112"
"detection_id","292","surv_ice_seals_2025_fl207_L_157"
"detection_id","293","surv_ice_seals_2025_fl207_L_158"
"detection_id","282","surv_ice_seals_2025_fl207_L_129"
"detection_id","283","surv_ice_seals_2025_fl207_L_136"
"detection_id","285","surv_ice_seals_2025_fl207_L_138"
"detection_id","335","surv_ice_seals_2025_fl207_R_29"
"detection_id","336","surv_ice_seals_2025_fl207_R_35"
"detection_id","337","surv_ice_seals_2025_fl207_R_38"
"detection_id","338","surv_ice_seals_2025_fl207_R_44"
"detection_id","330","surv_ice_seals_2025_fl207_R_223"
"detection_id","340","surv_ice_seals_2025_fl207_R_60"
"detection_id","331","surv_ice_seals_2025_fl207_R_224"
"detection_id","317","surv_ice_seals_2025_fl207_R_123"
"detection_id","318","surv_ice_seals_2025_fl207_R_124"
"detection_id","320","surv_ice_seals_2025_fl207_R_131"
"detection_id","322","surv_ice_seals_2025_fl207_R_186"
"detection_id","323","surv_ice_seals_2025_fl207_R_188"
"detection_id","333","surv_ice_seals_2025_fl207_R_236"
"detection_id","325","surv_ice_seals_2025_fl207_R_211"
"detection_id","327","surv_ice_seals_2025_fl207_R_218"
"detection_id","353","surv_ice_seals_2025_fl213_R_20"
"detection_id","357","surv_ice_seals_2025_fl213_R_78"
"detection_id","358","surv_ice_seals_2025_fl213_R_86"
"detection_id","349","surv_ice_seals_2025_fl213_R_125"
"detection_id","364","surv_ice_seals_2025_fl214_C_98"
"detection_id","360","surv_ice_seals_2025_fl214_C_123"
"detection_id","369","surv_ice_seals_2025_fl214_L_177"
"detection_id","366","surv_ice_seals_2025_fl214_L_153"
"detection_id","367","surv_ice_seals_2025_fl214_L_168"
"detection_id","371","surv_ice_seals_2025_fl214_R_109"
"detection_id","374","surv_ice_seals_2025_fl214_R_162"
"detection_id","378","surv_ice_seals_2025_fl215_C_8"
"detection_id","376","surv_ice_seals_2025_fl215_C_11"
"detection_id","379","surv_ice_seals_2025_fl215_R_21"
"detection_id","380","surv_ice_seals_2025_fl215_R_27"
"detection_id","381","surv_ice_seals_2025_fl215_R_49"
"detection_id","382","surv_ice_seals_2025_fl216_C_40"
"detection_id","383","surv_ice_seals_2025_fl216_C_59"
"detection_id","384","surv_ice_seals_2025_fl216_C_79"
"detection_id","389","surv_ice_seals_2025_fl216_L_67"
"detection_id","388","surv_ice_seals_2025_fl216_L_48"
"detection_id","394","surv_ice_seals_2025_fl217_L_37"
"detection_id","397","surv_ice_seals_2025_fl217_R_141"
"detection_id","398","surv_ice_seals_2025_fl217_R_157"
"detection_id","399","surv_ice_seals_2025_fl217_R_158"
"detection_id","400","surv_ice_seals_2025_fl218_C_101"
"detection_id","401","surv_ice_seals_2025_fl218_C_158"
"detection_id","404","surv_ice_seals_2025_fl218_C_173"
"detection_id","407","surv_ice_seals_2025_fl218_C_250"
"detection_id","406","surv_ice_seals_2025_fl218_C_234"
"detection_id","413","surv_ice_seals_2025_fl218_L_19"
"detection_id","431","surv_ice_seals_2025_fl218_L_36"
"detection_id","409","surv_ice_seals_2025_fl218_L_144"
"detection_id","410","surv_ice_seals_2025_fl218_L_167"
"detection_id","415","surv_ice_seals_2025_fl218_L_193"
"detection_id","414","surv_ice_seals_2025_fl218_L_192"
"detection_id","421","surv_ice_seals_2025_fl218_L_280"
"detection_id","423","surv_ice_seals_2025_fl218_L_290"
"detection_id","424","surv_ice_seals_2025_fl218_L_306"
"detection_id","425","surv_ice_seals_2025_fl218_L_309"
"detection_id","426","surv_ice_seals_2025_fl218_L_315"
"detection_id","429","surv_ice_seals_2025_fl218_L_346"
"detection_id","433","surv_ice_seals_2025_fl218_L_376"
"detection_id","434","surv_ice_seals_2025_fl218_L_377"
"detection_id","439","surv_ice_seals_2025_fl218_R_290"
"detection_id","443","surv_ice_seals_2025_fl219_L_15"
"detection_id","444","surv_ice_seals_2025_fl220_C_23"
"detection_id","447","surv_ice_seals_2025_fl221_R_30"
"detection_id","448","surv_ice_seals_2025_fl221_R_50"
"detection_id","449","surv_ice_seals_2025_fl221_R_59"
"detection_id","451","surv_ice_seals_2025_fl222_C_5"
"detection_id","450","surv_ice_seals_2025_fl222_C_13"
"detection_id","454","surv_ice_seals_2025_fl223_C_23"
"detection_id","453","surv_ice_seals_2025_fl223_C_216"
"detection_id","455","surv_ice_seals_2025_fl223_C_397"
"detection_id","461","surv_ice_seals_2025_fl223_L_19"
"detection_id","458","surv_ice_seals_2025_fl223_L_114"
"detection_id","465","surv_ice_seals_2025_fl223_R_46"
"detection_id","462","surv_ice_seals_2025_fl223_R_120"
"detection_id","463","surv_ice_seals_2025_fl223_R_172"
"detection_id","464","surv_ice_seals_2025_fl223_R_327"
"detection_id","468","surv_ice_seals_2025_fl225_C_8"
"detection_id","470","surv_ice_seals_2025_fl225_L_40"
"detection_id","471","surv_ice_seals_2025_fl225_R_29"
"detection_id","474","surv_ice_seals_2025_fl226_R_25"
"detection_id","480","surv_ice_seals_2025_fl227_R_45"
"detection_id","482","surv_ice_seals_2025_fl227_R_55"
"detection_id","485","surv_ice_seals_2025_fl228_L_8"
"detection_id","483","surv_ice_seals_2025_fl228_L_14"
"detection_id","484","surv_ice_seals_2025_fl228_L_17"
"detection_id","486","surv_ice_seals_2025_fl228_R_23"
"detection_id","490","surv_ice_seals_2025_fl234_C_47"
"detection_id","494","surv_ice_seals_2025_fl234_L_39"
"detection_id","493","surv_ice_seals_2025_fl234_L_160"
"detection_id","495","surv_ice_seals_2025_fl234_R_104"
"detection_id","498","surv_ice_seals_2025_fl234_R_192"
"detection_id","499","surv_ice_seals_2025_fl234_R_194"
"detection_id","508","surv_ice_seals_2025_fl235_C_77"
"detection_id","505","surv_ice_seals_2025_fl235_C_60"
"detection_id","506","surv_ice_seals_2025_fl235_C_62"
"detection_id","509","surv_ice_seals_2025_fl235_L_12"
"detection_id","511","surv_ice_seals_2025_fl235_L_18"
"detection_id","512","surv_ice_seals_2025_fl235_L_19"
"detection_id","514","surv_ice_seals_2025_fl235_L_27"
"detection_id","517","surv_ice_seals_2025_fl235_L_41"
"detection_id","515","surv_ice_seals_2025_fl235_L_30"
"detection_id","516","surv_ice_seals_2025_fl235_L_34"
"detection_id","523","surv_ice_seals_2025_fl235_R_48"
"detection_id","524","surv_ice_seals_2025_fl235_R_56"
"detection_id","546","surv_ice_seals_2025_fl237_C_53"
"detection_id","551","surv_ice_seals_2025_fl237_C_62"
"detection_id","525","surv_ice_seals_2025_fl237_C_100"
"detection_id","527","surv_ice_seals_2025_fl237_C_166"
"detection_id","528","surv_ice_seals_2025_fl237_C_167"
"detection_id","529","surv_ice_seals_2025_fl237_C_168"
"detection_id","531","surv_ice_seals_2025_fl237_C_187"
"detection_id","532","surv_ice_seals_2025_fl237_C_196"
"detection_id","533","surv_ice_seals_2025_fl237_C_197"
"detection_id","537","surv_ice_seals_2025_fl237_C_238"
"detection_id","541","surv_ice_seals_2025_fl237_C_376"
"detection_id","543","surv_ice_seals_2025_fl237_C_445"
"detection_id","545","surv_ice_seals_2025_fl237_C_522"
"detection_id","569","surv_ice_seals_2025_fl237_C_923"
"detection_id","553","surv_ice_seals_2025_fl237_C_652"
"detection_id","555","surv_ice_seals_2025_fl237_C_728"
"detection_id","560","surv_ice_seals_2025_fl237_C_799"
"detection_id","561","surv_ice_seals_2025_fl237_C_801"
"detection_id","562","surv_ice_seals_2025_fl237_C_820"
"detection_id","566","surv_ice_seals_2025_fl237_C_898"
"detection_id","567","surv_ice_seals_2025_fl237_C_904"
"detection_id","583","surv_ice_seals_2025_fl237_L_14"
"detection_id","586","surv_ice_seals_2025_fl237_L_23"
"detection_id","601","surv_ice_seals_2025_fl237_L_51"
"detection_id","624","surv_ice_seals_2025_fl237_L_87"
"detection_id","587","surv_ice_seals_2025_fl237_L_234"
"detection_id","590","surv_ice_seals_2025_fl237_L_283"
"detection_id","591","surv_ice_seals_2025_fl237_L_314"
"detection_id","593","surv_ice_seals_2025_fl237_L_393"
"detection_id","594","surv_ice_seals_2025_fl237_L_449"
"detection_id","597","surv_ice_seals_2025_fl237_L_489"
"detection_id","575","surv_ice_seals_2025_fl237_L_1205"
"detection_id","605","surv_ice_seals_2025_fl237_L_579"
"detection_id","607","surv_ice_seals_2025_fl237_L_600"
"detection_id","608","surv_ice_seals_2025_fl237_L_611"
"detection_id","612","surv_ice_seals_2025_fl237_L_675"
"detection_id","577","surv_ice_seals_2025_fl237_L_1346"
"detection_id","618","surv_ice_seals_2025_fl237_L_801"
"detection_id","620","surv_ice_seals_2025_fl237_L_851"
"detection_id","621","surv_ice_seals_2025_fl237_L_852"
"detection_id","582","surv_ice_seals_2025_fl237_L_1371"
"detection_id","626","surv_ice_seals_2025_fl237_L_979"
"detection_id","571","surv_ice_seals_2025_fl237_L_1016"
"detection_id","572","surv_ice_seals_2025_fl237_L_1026"
"detection_id","573","surv_ice_seals_2025_fl237_L_1067"
"detection_id","646","surv_ice_seals_2025_fl237_R_26"
"detection_id","627","surv_ice_seals_2025_fl237_R_103"
"detection_id","631","surv_ice_seals_2025_fl237_R_118"
"detection_id","644","surv_ice_seals_2025_fl237_R_194"
"detection_id","645","surv_ice_seals_2025_fl237_R_197"
"detection_id","650","surv_ice_seals_2025_fl237_R_403"
"detection_id","652","surv_ice_seals_2025_fl237_R_422"
"detection_id","653","surv_ice_seals_2025_fl237_R_426"
"detection_id","656","surv_ice_seals_2025_fl237_R_540"
"detection_id","657","surv_ice_seals_2025_fl237_R_545"
"detection_id","658","surv_ice_seals_2025_fl237_R_546"
"detection_id","664","surv_ice_seals_2025_fl237_R_646"
"detection_id","663","surv_ice_seals_2025_fl237_R_645"
"detection_id","665","surv_ice_seals_2025_fl237_R_700"
"detection_id","640","surv_ice_seals_2025_fl237_R_1285"
"detection_id","666","surv_ice_seals_2025_fl237_R_717"
"detection_id","667","surv_ice_seals_2025_fl237_R_722"
"detection_id","668","surv_ice_seals_2025_fl237_R_726"
"detection_id","669","surv_ice_seals_2025_fl237_R_734"
"detection_id","670","surv_ice_seals_2025_fl237_R_747"
"detection_id","671","surv_ice_seals_2025_fl237_R_836"
"detection_id","675","surv_ice_seals_2025_fl237_R_888"
"detection_id","642","surv_ice_seals_2025_fl237_R_1302"
"detection_id","630","surv_ice_seals_2025_fl237_R_1141"
"detection_id","633","surv_ice_seals_2025_fl237_R_1200"
"detection_id","635","surv_ice_seals_2025_fl237_R_1216"
"detection_id","636","surv_ice_seals_2025_fl237_R_1221"
"detection_id","637","surv_ice_seals_2025_fl237_R_1228"
"detection_id","680","surv_ice_seals_2025_fl242_C_392"
"detection_id","685","surv_ice_seals_2025_fl242_L_9"
"detection_id","684","surv_ice_seals_2025_fl242_L_63"
"detection_id","687","surv_ice_seals_2025_fl242_R_304"
"detection_id","688","surv_ice_seals_2025_fl242_R_367"
"detection_id","2","surv_ice_seals_2025_fl107_C_978"
"detection_id","8","surv_ice_seals_2025_fl108_C_677"
"detection_id","12","surv_ice_seals_2025_fl108_L_350"
"detection_id","16","surv_ice_seals_2025_fl108_L_857"
"detection_id","17","surv_ice_seals_2025_fl108_L_887"
"detection_id","18","surv_ice_seals_2025_fl108_L_907"
"detection_id","22","surv_ice_seals_2025_fl108_L_990"
"detection_id","28","surv_ice_seals_2025_fl108_R_5"
"detection_id","25","surv_ice_seals_2025_fl108_R_308"
"detection_id","29","surv_ice_seals_2025_fl108_R_507"
"detection_id","34","surv_ice_seals_2025_fl108_R_800"
"detection_id","37","surv_ice_seals_2025_fl108_R_828"
"detection_id","40","surv_ice_seals_2025_fl111_C_68"
"detection_id","41","surv_ice_seals_2025_fl111_C_69"
"detection_id","42","surv_ice_seals_2025_fl111_C_81"
"detection_id","47","surv_ice_seals_2025_fl112_L_145"
"detection_id","51","surv_ice_seals_2025_fl113_C_71"
"detection_id","52","surv_ice_seals_2025_fl113_L_298"
"detection_id","53","surv_ice_seals_2025_fl113_L_405"
"detection_id","54","surv_ice_seals_2025_fl113_R_313"
"detection_id","57","surv_ice_seals_2025_fl119_C_47"
"detection_id","67","surv_ice_seals_2025_fl120_C_76"
"detection_id","66","surv_ice_seals_2025_fl120_C_107"
"detection_id","74","surv_ice_seals_2025_fl120_L_213"
"detection_id","76","surv_ice_seals_2025_fl120_L_358"
"detection_id","77","surv_ice_seals_2025_fl120_L_413"
"detection_id","78","surv_ice_seals_2025_fl120_L_675"
"detection_id","69","surv_ice_seals_2025_fl120_L_1091"
"detection_id","70","surv_ice_seals_2025_fl120_L_1102"
"detection_id","87","surv_ice_seals_2025_fl121_C_422"
"detection_id","89","surv_ice_seals_2025_fl121_C_71"
"detection_id","85","surv_ice_seals_2025_fl121_C_410"
"detection_id","90","surv_ice_seals_2025_fl121_L_121"
"detection_id","92","surv_ice_seals_2025_fl121_L_173"
"detection_id","93","surv_ice_seals_2025_fl121_L_404"
"detection_id","99","surv_ice_seals_2025_fl121_R_69"
"detection_id","97","surv_ice_seals_2025_fl121_R_158"
"detection_id","101","surv_ice_seals_2025_fl122_C_1"
"detection_id","113","surv_ice_seals_2025_fl123_L_17"
"detection_id","115","surv_ice_seals_2025_fl123_L_27"
"detection_id","116","surv_ice_seals_2025_fl123_L_346"
"detection_id","127","surv_ice_seals_2025_fl123_R_72"
"detection_id","120","surv_ice_seals_2025_fl123_R_100"
"detection_id","146","surv_ice_seals_2025_fl125_L_980"
"detection_id","145","surv_ice_seals_2025_fl125_L_6892"
"detection_id","142","surv_ice_seals_2025_fl125_L_6272"
"detection_id","154","surv_ice_seals_2025_fl125_R_5"
"detection_id","156","surv_ice_seals_2025_fl125_R_97"
"detection_id","148","surv_ice_seals_2025_fl125_R_156"
"detection_id","157","surv_ice_seals_2025_fl126_C_22"
"detection_id","164","surv_ice_seals_2025_fl127_C_57"
"detection_id","165","surv_ice_seals_2025_fl127_C_58"
"detection_id","167","surv_ice_seals_2025_fl127_C_77"
"detection_id","162","surv_ice_seals_2025_fl127_C_105"
"detection_id","171","surv_ice_seals_2025_fl127_L_2148"
"detection_id","181","surv_ice_seals_2025_fl127_R_68"
"detection_id","182","surv_ice_seals_2025_fl127_R_72"
"detection_id","176","surv_ice_seals_2025_fl127_R_137"
"detection_id","177","surv_ice_seals_2025_fl127_R_151"
"detection_id","184","surv_ice_seals_2025_fl132_L_154"
"detection_id","190","surv_ice_seals_2025_fl134_C_60"
"detection_id","189","surv_ice_seals_2025_fl134_C_135"
"detection_id","192","surv_ice_seals_2025_fl135_L_189"
"detection_id","196","surv_ice_seals_2025_fl137_L_169"
"detection_id","197","surv_ice_seals_2025_fl137_L_262"
"detection_id","203","surv_ice_seals_2025_fl138_R_1637"
"detection_id","205","surv_ice_seals_2025_fl201_R_3"
"detection_id","209","surv_ice_seals_2025_fl202_C_15"
"detection_id","210","surv_ice_seals_2025_fl202_C_16"
"detection_id","207","surv_ice_seals_2025_fl202_C_101"
"detection_id","216","surv_ice_seals_2025_fl202_R_18"
"detection_id","219","surv_ice_seals_2025_fl202_R_24"
"detection_id","223","surv_ice_seals_2025_fl202_R_31"
"detection_id","225","surv_ice_seals_2025_fl202_R_42"
"detection_id","237","surv_ice_seals_2025_fl203_L_43"
"detection_id","236","surv_ice_seals_2025_fl203_L_140"
"detection_id","245","surv_ice_seals_2025_fl203_R_54"
"detection_id","246","surv_ice_seals_2025_fl203_R_72"
"detection_id","247","surv_ice_seals_2025_fl204_L_102"
"detection_id","249","surv_ice_seals_2025_fl204_L_142"
"detection_id","256","surv_ice_seals_2025_fl207_C_21"
"detection_id","259","surv_ice_seals_2025_fl207_C_24"
"detection_id","265","surv_ice_seals_2025_fl207_C_35"
"detection_id","266","surv_ice_seals_2025_fl207_C_36"
"detection_id","269","surv_ice_seals_2025_fl207_C_61"
"detection_id","271","surv_ice_seals_2025_fl207_C_63"
"detection_id","270","surv_ice_seals_2025_fl207_C_62"
"detection_id","273","surv_ice_seals_2025_fl207_C_82"
"detection_id","276","surv_ice_seals_2025_fl207_C_97"
"detection_id","305","surv_ice_seals_2025_fl207_L_5"
"detection_id","294","surv_ice_seals_2025_fl207_L_21"
"detection_id","299","surv_ice_seals_2025_fl207_L_39"
"detection_id","302","surv_ice_seals_2025_fl207_L_44"
"detection_id","278","surv_ice_seals_2025_fl207_L_101"
"detection_id","291","surv_ice_seals_2025_fl207_L_156"
"detection_id","328","surv_ice_seals_2025_fl207_R_221"
"detection_id","329","surv_ice_seals_2025_fl207_R_222"
"detection_id","324","surv_ice_seals_2025_fl207_R_210"
"detection_id","326","surv_ice_seals_2025_fl207_R_217"
"detection_id","345","surv_ice_seals_2025_fl213_C_82"
"detection_id","346","surv_ice_seals_2025_fl213_C_93"
"detection_id","348","surv_ice_seals_2025_fl213_L_74"
"detection_id","356","surv_ice_seals_2025_fl213_R_62"
"detection_id","359","surv_ice_seals_2025_fl214_C_100"
"detection_id","370","surv_ice_seals_2025_fl214_L_93"
"detection_id","375","surv_ice_seals_2025_fl214_R_191"
"detection_id","372","surv_ice_seals_2025_fl214_R_137"
