"hotspot_number","image_number","obs_id","side","alt_ft","sp_id_conf","age_class_conf"
1,1,1,1,964.13,"bd1","a1"
3,3,1,1,1022.05,"sp2","a1"
4,4,1,1,1016.01,"rd1","a1"
5,5,1,1,1007.24,"bd2","p2"
7,8,1,1,962.39,"rd2","a2"
9,9,1,1,996.11,"rd1","p1"
10,10,1,2,1019.35,"bd1","a1"
23,13,1,2,976.46,"rd2","p1"
15,16,1,2,1000.14,"rd2","p2"
19,20,1,2,1007.67,"bd1","a1"
21,22,1,2,1019.29,"bd1","a1"
27,26,1,3,1026.88,"bd1","a1"
24,27,1,3,1018.61,"rd2","a1"
30,31,1,3,998.92,"rd1","a1"
31,32,1,3,1043.66,"rd2","a1"
35,34,1,3,1009.6,"bd1","a1"
38,37,1,1,983.82,"bd1","a1"
44,42,1,2,993.29,"rd2","a1"
45,43,1,2,1003.3,"rd2","a1"
43,44,1,2,997.3,"rd1","a1"
48,48,1,1,1001.92,"rd1","a1"
49,49,1,1,967.91,"rd2","a2"
55,53,1,3,999.2,"bd1","a2"
56,54,1,3,968.48,"bd1","a1"
58,55,1,1,1020.1,"sp1","a1"
61,55,1,1,1020.1,"sp1","p1"
59,56,1,1,1021.03,"rd1","a1"
60,57,1,1,1023.05,"rd1","a1"
63,59,1,3,1041.62,"sp2","a1"
65,61,1,3,1008.39,"sp2","a1"
75,67,1,2,1058.41,"rd2","a2"
72,69,1,2,1047.28,"bd1","p1"
79,72,1,2,1020.41,"rd1","a1"
80,73,1,2,1028.44,"bd2","a2"
71,76,1,2,991.04,"sp3","p3"
81,77,1,3,1008.41,"bd1","p2"
82,81,1,1,821.47,"sp2","a1"
86,84,1,1,827.03,"sp3","p3"
95,85,1,2,822.96,"sp3","a3"
91,87,1,2,824.91,"rd1","a1"
94,90,1,2,829.35,"sp2","a1"
98,94,1,3,832.4,"bd1","a1"
100,95,1,3,825.01,"sp3","p2"
102,97,1,1,805.82,"sp3","p2"
106,100,1,1,1013.13,"sp3","p2"
108,102,1,1,993.84,"sp1","a1"
109,103,1,1,808.93,"bd1","a1"
110,104,1,1,811.65,"sp3","a2"
111,105,1,1,848.06,"rd2","p1"
118,107,1,2,1013.62,"sp3","p2"
119,110,1,2,854.54,"sp3","a1"
117,111,1,2,831.07,"rd2","p1"
112,112,1,2,810.3,"sp3","p2"
114,113,1,2,821.57,"sp2","a1"
121,114,1,3,1006.66,"bd2","a2"
126,117,1,3,842.08,"sp1","a1"
124,117,1,3,842.08,"sp1","p1"
123,121,1,3,819.36,"rd3","a2"
135,124,1,1,1017.6,"rd2","a1"
138,126,1,1,1018.93,"rd3","a2"
134,129,1,1,1004.68,"bd1","a1"
139,132,1,2,1015.86,"rd1","a1"
144,132,1,2,1015.86,"rd1","p1"
140,133,1,2,1015.7,"bd1","a2"
141,134,1,2,1021.16,"sp2","a1"
147,140,1,3,1015.33,"rd2","a2"
149,142,1,3,1015.99,"rd2","a1"
151,145,1,3,1033.06,"sp2","a1"
152,145,1,3,1033.06,"sp2","p1"
158,149,1,2,1005.82,"bd2","a1"
161,151,1,3,1011.61,"bd2","a2"
166,155,1,1,1000.01,"rd2","a1"
168,158,1,2,994.7,"rd2","a2"
174,159,1,2,993.99,"rd2","a1"
169,160,1,2,1002.38,"rd2","a2"
170,161,1,2,1001.51,"sp3","a1"
173,164,1,2,1002.2,"sp1","a1"
178,165,1,3,985.56,"rd1","a1"
179,166,1,3,1002.23,"bd2","a2"
183,173,1,1,974.12,"rd1","a1"
186,176,1,3,969.49,"bd2","p3"
187,177,1,3,956.96,"rd1","a1"
188,179,1,1,787.14,"rd1","a1"
191,181,1,3,981.52,"rd1","a1"
194,184,1,3,796.25,"rd2","a1"
195,185,1,1,1076.38,"rd1","a1"
199,189,1,3,1088.87,"bd1","a1"
200,190,1,1,1066.22,"rd1","a1"
206,196,1,1,1085.44,"bd1","a1"
212,199,1,1,1102.27,"rn1","a1"
214,201,1,1,1073.88,"sp3","p2"
208,204,1,1,897.9,"sp2","a1"
217,206,1,3,1089.85,"rn1","a1"
218,206,1,3,1089.85,"rn1","p1"
221,208,1,3,1109.38,"rn1","a1"
224,211,1,3,1099.48,"rn3","a2"
226,213,1,3,1080.17,"rn1","a1"
227,214,1,3,1082.39,"sp2","a1"
228,215,1,3,1069.91,"rd3","a2"
229,216,1,3,1067.37,"bd1","a1"
230,217,1,3,1061.77,"sp2","a1"
231,217,1,3,1061.77,"sp2","a1"
233,220,1,1,935.38,"rd2","a1"
239,227,1,3,933.01,"bd1","a1"
238,227,1,3,933.01,"bd1","a1"
240,228,1,3,931.41,"bd1","a1"
241,230,1,3,930.24,"bd1","a1"
251,231,1,2,961.3,"bd1","a1"
248,233,1,2,971,"sp1","a1"
250,233,1,2,971,"sp1","p1"
252,234,1,3,948.87,"bd1","a1"
254,235,1,1,1026.2,"sp2","a2"
255,236,1,1,1031.52,"sp2","a1"
258,238,1,1,1036.2,"bd3","p3"
260,240,1,1,1044.85,"rn3","a1"
263,243,1,1,1052.26,"sp2","a1"
267,245,1,1,1041.4,"sp2","a1"
268,245,1,1,1041.4,"sp2","p1"
272,247,1,1,1066.17,"rn1","a1"
274,249,1,1,1067.67,"bd3","p3"
296,253,1,2,946.55,"bd1","a1"
313,255,1,2,943.85,"rd2","a1"
297,257,1,2,1026.48,"sp2","a1"
298,258,1,2,1031.71,"rn1","a1"
300,259,1,2,1022.5,"sp1","a1"
301,260,1,2,1036.22,"sp1","a1"
303,260,1,2,1036.22,"sp1","p1"
304,261,1,2,1036.56,"sp1","a1"
306,262,1,2,1037.12,"rn1","a1"
307,263,1,2,1047.54,"rn1","a1"
308,264,1,2,1049.85,"sp1","a1"
309,264,1,2,1049.85,"sp1","p1"
312,266,1,2,1042.42,"rn1","a1"
314,267,1,2,1065.41,"sp2","a1"
315,268,1,2,1064.13,"rn1","a1"
290,268,1,2,1064.13,"rn1","p1"
277,269,1,2,1067.31,"sp2","a1"
280,271,1,2,1065.64,"bd3","a1"
292,272,1,2,1065.82,"rn1","a1"
293,274,1,2,1066.51,"sp2","a1"
282,275,1,2,1080.63,"rn3","a1"
283,276,1,2,1083.13,"rn1","a1"
